日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/04/12 06:00:00,123.074,123.088,123.068,123.088,123.184,123.189,123.178,123.18
2016/04/12 06:01:00,123.088,123.088,123.066,123.08,123.18,123.18,123.149,123.172
2016/04/12 06:02:00,123.08,123.144,123.079,123.105,123.172,123.218,123.172,123.192
2016/04/12 06:03:00,123.105,123.105,123.1,123.101,123.192,123.192,123.186,123.186
2016/04/12 06:04:00,123.101,123.101,123.1,123.1,123.186,123.186,123.186,123.186
2016/04/12 06:05:00,123.1,123.112,123.1,123.102,123.186,123.197,123.186,123.189
2016/04/12 06:06:00,123.102,123.108,123.1,123.102,123.189,123.198,123.188,123.195
2016/04/12 06:07:00,123.102,123.106,123.102,123.103,123.195,123.196,123.191,123.195
2016/04/12 06:08:00,123.103,123.108,123.103,123.107,123.195,123.196,123.191,123.191
2016/04/12 06:09:00,123.107,123.109,123.106,123.109,123.191,123.197,123.191,123.197
2016/04/12 06:10:00,123.109,123.128,123.109,123.125,123.197,123.197,123.176,123.184
2016/04/12 06:11:00,123.125,123.127,123.123,123.126,123.184,123.184,123.178,123.178
2016/04/12 06:12:00,123.126,123.126,123.12,123.12,123.178,123.182,123.177,123.179
2016/04/12 06:13:00,123.12,123.122,123.113,123.113,123.179,123.18,123.171,123.172
2016/04/12 06:14:00,123.113,123.114,123.111,123.113,123.172,123.173,123.165,123.165
2016/04/12 06:15:00,123.113,123.122,123.112,123.121,123.165,123.177,123.165,123.172
2016/04/12 06:16:00,123.121,123.121,123.11,123.11,123.172,123.172,123.166,123.168
2016/04/12 06:17:00,123.11,123.111,123.109,123.11,123.168,123.168,123.163,123.164
2016/04/12 06:18:00,123.11,123.112,123.107,123.109,123.164,123.168,123.161,123.161
2016/04/12 06:19:00,123.109,123.113,123.107,123.111,123.161,123.167,123.161,123.165
2016/04/12 06:20:00,123.111,123.113,123.104,123.104,123.165,123.167,123.159,123.161
2016/04/12 06:21:00,123.104,123.114,123.104,123.114,123.161,123.171,123.161,123.17
2016/04/12 06:22:00,123.114,123.119,123.111,123.118,123.17,123.178,123.166,123.177
2016/04/12 06:23:00,123.118,123.119,123.116,123.118,123.177,123.177,123.171,123.172
2016/04/12 06:24:00,123.118,123.119,123.116,123.118,123.172,123.177,123.172,123.172
2016/04/12 06:25:00,123.118,123.118,123.115,123.118,123.172,123.176,123.169,123.176
2016/04/12 06:26:00,123.118,123.119,123.116,123.118,123.176,123.177,123.174,123.176
2016/04/12 06:27:00,123.118,123.121,123.118,123.12,123.176,123.176,123.171,123.171
2016/04/12 06:28:00,123.12,123.123,123.118,123.119,123.171,123.181,123.171,123.177
2016/04/12 06:29:00,123.119,123.136,123.11,123.134,123.177,123.181,123.14,123.14
2016/04/12 06:30:00,123.134,123.134,123.102,123.109,123.14,123.167,123.14,123.167
2016/04/12 06:31:00,123.109,123.136,123.109,123.114,123.167,123.168,123.141,123.164
2016/04/12 06:32:00,123.114,123.115,123.109,123.115,123.164,123.17,123.164,123.169
2016/04/12 06:33:00,123.115,123.126,123.115,123.118,123.169,123.182,123.166,123.176
2016/04/12 06:34:00,123.118,123.124,123.118,123.12,123.176,123.178,123.174,123.178
2016/04/12 06:35:00,123.12,123.125,123.119,123.124,123.178,123.178,123.173,123.175
2016/04/12 06:36:00,123.124,123.145,123.123,123.123,123.175,123.176,123.151,123.176
2016/04/12 06:37:00,123.123,123.125,123.118,123.12,123.176,123.179,123.173,123.179
2016/04/12 06:38:00,123.12,123.123,123.119,123.12,123.179,123.18,123.174,123.179
2016/04/12 06:39:00,123.12,123.121,123.115,123.115,123.179,123.18,123.173,123.174
2016/04/12 06:40:00,123.115,123.116,123.108,123.108,123.174,123.174,123.167,123.167
2016/04/12 06:41:00,123.108,123.109,123.098,123.104,123.167,123.167,123.156,123.163
2016/04/12 06:42:00,123.104,123.128,123.095,123.121,123.163,123.183,123.151,123.179
2016/04/12 06:43:00,123.121,123.122,123.092,123.093,123.179,123.179,123.149,123.151
2016/04/12 06:44:00,123.093,123.104,123.093,123.096,123.151,123.162,123.151,123.154
2016/04/12 06:45:00,123.096,123.098,123.088,123.09,123.154,123.155,123.146,123.147
2016/04/12 06:46:00,123.09,123.091,123.081,123.091,123.147,123.149,123.137,123.149
2016/04/12 06:47:00,123.091,123.118,123.089,123.089,123.149,123.175,123.147,123.147
2016/04/12 06:48:00,123.089,123.089,123.082,123.082,123.147,123.147,123.14,123.14
2016/04/12 06:49:00,123.082,123.095,123.082,123.087,123.14,123.154,123.14,123.145
2016/04/12 06:50:00,123.087,123.118,123.087,123.104,123.145,123.177,123.145,123.163
2016/04/12 06:51:00,123.104,123.112,123.103,123.109,123.163,123.166,123.161,123.165
2016/04/12 06:52:00,123.109,123.109,123.086,123.086,123.165,123.166,123.145,123.145
2016/04/12 06:53:00,123.086,123.088,123.082,123.082,123.145,123.147,123.141,123.141
2016/04/12 06:54:00,123.082,123.085,123.077,123.078,123.141,123.144,123.139,123.143
2016/04/12 06:55:00,123.078,123.078,123.074,123.078,123.143,123.154,123.136,123.154
2016/04/12 06:56:00,123.078,123.088,123.078,123.088,123.154,123.159,123.151,123.159
2016/04/12 06:57:00,123.088,123.146,123.087,123.108,123.159,123.177,123.15,123.167
2016/04/12 06:58:00,123.108,123.112,123.106,123.111,123.167,123.167,123.16,123.163
2016/04/12 06:59:00,123.111,123.111,123.109,123.11,123.163,123.164,123.16,123.161
2016/04/12 07:00:00,123.11,123.139,123.108,123.122,123.161,123.162,123.125,123.128
2016/04/12 07:01:00,123.122,123.153,123.119,123.151,123.128,123.159,123.125,123.157
2016/04/12 07:02:00,123.151,123.153,123.143,123.145,123.157,123.159,123.149,123.151
2016/04/12 07:03:00,123.145,123.149,123.141,123.143,123.151,123.155,123.147,123.149
2016/04/12 07:04:00,123.143,123.145,123.141,123.145,123.149,123.151,123.147,123.151
2016/04/12 07:05:00,123.145,123.156,123.138,123.139,123.151,123.162,123.144,123.145
2016/04/12 07:06:00,123.139,123.143,123.138,123.14,123.145,123.149,123.144,123.146
2016/04/12 07:07:00,123.14,123.141,123.104,123.113,123.146,123.147,123.11,123.119
2016/04/12 07:08:00,123.113,123.121,123.108,123.119,123.119,123.127,123.114,123.125
2016/04/12 07:09:00,123.119,123.123,123.118,123.123,123.125,123.129,123.124,123.129
2016/04/12 07:10:00,123.123,123.15,123.123,123.144,123.129,123.156,123.129,123.15
2016/04/12 07:11:00,123.144,123.146,123.14,123.141,123.15,123.152,123.146,123.147
2016/04/12 07:12:00,123.141,123.142,123.127,123.137,123.147,123.148,123.133,123.143
2016/04/12 07:13:00,123.137,123.145,123.137,123.138,123.143,123.151,123.143,123.144
2016/04/12 07:14:00,123.138,123.144,123.131,123.132,123.144,123.15,123.137,123.138
2016/04/12 07:15:00,123.132,123.138,123.132,123.138,123.138,123.144,123.138,123.144
2016/04/12 07:16:00,123.138,123.14,123.134,123.14,123.144,123.146,123.14,123.146
2016/04/12 07:17:00,123.14,123.142,123.139,123.139,123.146,123.148,123.145,123.145
2016/04/12 07:18:00,123.139,123.144,123.137,123.137,123.145,123.15,123.143,123.143
2016/04/12 07:19:00,123.137,123.138,123.131,123.133,123.143,123.144,123.137,123.139
