日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/04/06 06:00:00,125.58,125.58,125.56,125.565,125.623,125.64,125.623,125.623
2016/04/06 06:01:00,125.565,125.598,125.565,125.574,125.623,125.638,125.623,125.632
2016/04/06 06:02:00,125.574,125.58,125.559,125.559,125.632,125.633,125.618,125.618
2016/04/06 06:03:00,125.559,125.559,125.541,125.541,125.618,125.618,125.599,125.599
2016/04/06 06:04:00,125.541,125.568,125.54,125.568,125.599,125.618,125.599,125.617
2016/04/06 06:05:00,125.568,125.598,125.568,125.583,125.617,125.643,125.617,125.642
2016/04/06 06:06:00,125.583,125.6,125.583,125.6,125.642,125.643,125.634,125.64
2016/04/06 06:07:00,125.6,125.6,125.567,125.569,125.64,125.643,125.625,125.628
2016/04/06 06:08:00,125.569,125.572,125.549,125.557,125.628,125.631,125.608,125.616
2016/04/06 06:09:00,125.557,125.563,125.553,125.557,125.616,125.621,125.611,125.616
2016/04/06 06:10:00,125.557,125.565,125.552,125.564,125.616,125.624,125.611,125.622
2016/04/06 06:11:00,125.564,125.578,125.55,125.553,125.622,125.622,125.591,125.612
2016/04/06 06:12:00,125.553,125.57,125.549,125.566,125.612,125.615,125.595,125.607
2016/04/06 06:13:00,125.566,125.568,125.535,125.54,125.607,125.617,125.593,125.598
2016/04/06 06:14:00,125.54,125.594,125.532,125.579,125.598,125.623,125.59,125.616
2016/04/06 06:15:00,125.579,125.579,125.552,125.555,125.616,125.619,125.611,125.614
2016/04/06 06:16:00,125.555,125.562,125.543,125.558,125.614,125.615,125.595,125.61
2016/04/06 06:17:00,125.558,125.589,125.552,125.569,125.61,125.615,125.593,125.606
2016/04/06 06:18:00,125.569,125.583,125.554,125.57,125.606,125.619,125.594,125.606
2016/04/06 06:19:00,125.57,125.57,125.557,125.565,125.606,125.621,125.603,125.619
2016/04/06 06:20:00,125.565,125.58,125.553,125.557,125.619,125.626,125.611,125.615
2016/04/06 06:21:00,125.557,125.56,125.546,125.551,125.615,125.619,125.604,125.606
