日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/04/27 06:00:00,125.752,125.797,125.739,125.788,125.809,125.831,125.797,125.828
2016/04/27 06:01:00,125.788,125.807,125.788,125.805,125.828,125.852,125.828,125.845
2016/04/27 06:02:00,125.805,125.805,125.793,125.795,125.845,125.845,125.833,125.835
2016/04/27 06:03:00,125.795,125.795,125.779,125.78,125.835,125.835,125.812,125.82
2016/04/27 06:04:00,125.78,125.789,125.78,125.783,125.82,125.824,125.814,125.823
2016/04/27 06:05:00,125.783,125.789,125.74,125.742,125.823,125.823,125.783,125.784
2016/04/27 06:06:00,125.742,125.742,125.724,125.73,125.784,125.798,125.758,125.787
2016/04/27 06:07:00,125.73,125.744,125.73,125.742,125.787,125.802,125.787,125.801
2016/04/27 06:08:00,125.742,125.784,125.741,125.783,125.801,125.824,125.8,125.823
2016/04/27 06:09:00,125.783,125.783,125.763,125.775,125.823,125.831,125.812,125.815
2016/04/27 06:10:00,125.775,125.793,125.755,125.77,125.815,125.818,125.783,125.783
2016/04/27 06:11:00,125.77,125.771,125.767,125.77,125.783,125.784,125.78,125.783
2016/04/27 06:12:00,125.77,125.773,125.75,125.768,125.783,125.817,125.777,125.781
2016/04/27 06:13:00,125.768,125.768,125.734,125.737,125.781,125.791,125.776,125.781
2016/04/27 06:14:00,125.737,125.762,125.737,125.762,125.781,125.803,125.781,125.803
2016/04/27 06:15:00,125.762,125.82,125.756,125.785,125.803,125.846,125.803,125.835
2016/04/27 06:16:00,125.785,125.785,125.771,125.772,125.835,125.84,125.824,125.83
2016/04/27 06:17:00,125.772,125.774,125.768,125.769,125.83,125.832,125.826,125.827
2016/04/27 06:18:00,125.769,125.778,125.768,125.777,125.827,125.831,125.825,125.828
2016/04/27 06:19:00,125.777,125.78,125.773,125.775,125.828,125.832,125.824,125.829
2016/04/27 06:20:00,125.775,125.781,125.771,125.776,125.829,125.833,125.827,125.83
2016/04/27 06:21:00,125.776,125.788,125.77,125.771,125.83,125.841,125.821,125.823
