日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/02/22 07:00:00,112.555,112.579,112.549,112.555,112.594,112.615,112.594,112.613
2016/02/22 07:01:00,112.555,112.58,112.55,112.561,112.613,112.656,112.613,112.64
2016/02/22 07:02:00,112.561,112.608,112.561,112.604,112.64,112.656,112.623,112.65
2016/02/22 07:03:00,112.604,112.614,112.585,112.585,112.65,112.663,112.629,112.629
2016/02/22 07:04:00,112.585,112.599,112.583,112.599,112.629,112.645,112.625,112.645
2016/02/22 07:05:00,112.599,112.616,112.594,112.6,112.645,112.659,112.639,112.656
2016/02/22 07:06:00,112.6,112.617,112.599,112.616,112.656,112.657,112.639,112.64
2016/02/22 07:07:00,112.616,112.634,112.61,112.614,112.64,112.663,112.639,112.65
2016/02/22 07:08:00,112.614,112.621,112.611,112.611,112.65,112.657,112.635,112.635
2016/02/22 07:09:00,112.611,112.634,112.607,112.61,112.635,112.659,112.635,112.646
2016/02/22 07:10:00,112.61,112.629,112.61,112.617,112.646,112.664,112.631,112.643
2016/02/22 07:11:00,112.617,112.63,112.617,112.62,112.643,112.657,112.643,112.649
2016/02/22 07:12:00,112.62,112.623,112.613,112.614,112.649,112.654,112.646,112.649
2016/02/22 07:13:00,112.614,112.628,112.613,112.618,112.649,112.662,112.649,112.651
2016/02/22 07:14:00,112.618,112.619,112.607,112.607,112.651,112.653,112.64,112.642
2016/02/22 07:15:00,112.607,112.618,112.599,112.6,112.642,112.652,112.62,112.625
2016/02/22 07:16:00,112.6,112.608,112.578,112.597,112.625,112.629,112.598,112.626
2016/02/22 07:17:00,112.597,112.597,112.576,112.576,112.626,112.627,112.605,112.605
2016/02/22 07:18:00,112.576,112.578,112.565,112.565,112.605,112.607,112.593,112.594
2016/02/22 07:19:00,112.565,112.576,112.555,112.568,112.594,112.599,112.574,112.575
2016/02/22 07:20:00,112.568,112.57,112.56,112.565,112.575,112.598,112.575,112.593
2016/02/22 07:21:00,112.565,112.578,112.564,112.575,112.593,112.603,112.581,112.602
2016/02/22 07:22:00,112.575,112.587,112.568,112.577,112.602,112.607,112.591,112.604
2016/02/22 07:23:00,112.577,112.589,112.575,112.584,112.604,112.618,112.594,112.613
2016/02/22 07:24:00,112.584,112.591,112.582,112.583,112.613,112.62,112.612,112.614
2016/02/22 07:25:00,112.583,112.583,112.571,112.577,112.614,112.614,112.603,112.609
2016/02/22 07:26:00,112.577,112.584,112.573,112.574,112.609,112.615,112.601,112.601
2016/02/22 07:27:00,112.574,112.58,112.572,112.573,112.601,112.606,112.598,112.599
2016/02/22 07:28:00,112.573,112.578,112.573,112.575,112.599,112.605,112.599,112.601
2016/02/22 07:29:00,112.575,112.576,112.574,112.575,112.601,112.602,112.6,112.601
2016/02/22 07:30:00,112.575,112.578,112.566,112.571,112.601,112.606,112.592,112.596
2016/02/22 07:31:00,112.571,112.59,112.569,112.579,112.596,112.614,112.595,112.605
2016/02/22 07:32:00,112.579,112.59,112.573,112.584,112.605,112.616,112.6,112.609
2016/02/22 07:33:00,112.584,112.601,112.581,112.589,112.609,112.616,112.6,112.614
2016/02/22 07:34:00,112.589,112.599,112.586,112.587,112.614,112.616,112.603,112.614
2016/02/22 07:35:00,112.587,112.607,112.586,112.597,112.614,112.622,112.6,112.604
2016/02/22 07:36:00,112.597,112.601,112.587,112.596,112.604,112.614,112.601,112.603
