日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2016/03/17 06:00:00,126.344,126.344,126.294,126.295,126.384,126.433,126.384,126.415
2016/03/17 06:01:00,126.295,126.358,126.293,126.328,126.415,126.425,126.393,126.417
2016/03/17 06:02:00,126.328,126.341,126.328,126.34,126.417,126.424,126.411,126.413
2016/03/17 06:03:00,126.34,126.387,126.336,126.387,126.413,126.436,126.411,126.432
2016/03/17 06:04:00,126.387,126.399,126.372,126.394,126.432,126.443,126.423,126.438
2016/03/17 06:05:00,126.394,126.396,126.354,126.359,126.438,126.44,126.41,126.432
2016/03/17 06:06:00,126.359,126.362,126.346,126.353,126.432,126.442,126.431,126.433
2016/03/17 06:07:00,126.353,126.358,126.35,126.354,126.433,126.437,126.429,126.433
2016/03/17 06:08:00,126.354,126.393,126.349,126.391,126.433,126.434,126.417,126.431
2016/03/17 06:09:00,126.391,126.392,126.316,126.326,126.431,126.444,126.403,126.418
2016/03/17 06:10:00,126.326,126.353,126.306,126.35,126.418,126.425,126.352,126.363
2016/03/17 06:11:00,126.35,126.354,126.321,126.344,126.363,126.433,126.358,126.425
2016/03/17 06:12:00,126.344,126.375,126.326,126.344,126.425,126.425,126.388,126.423
2016/03/17 06:13:00,126.344,126.395,126.341,126.36,126.423,126.431,126.407,126.421
2016/03/17 06:14:00,126.36,126.492,126.359,126.491,126.421,126.507,126.419,126.504
2016/03/17 06:15:00,126.491,126.493,126.466,126.491,126.504,126.512,126.491,126.504
2016/03/17 06:16:00,126.491,126.502,126.464,126.49,126.504,126.543,126.498,126.503
2016/03/17 06:17:00,126.49,126.49,126.426,126.426,126.503,126.511,126.493,126.495
2016/03/17 06:18:00,126.426,126.429,126.381,126.42,126.495,126.495,126.448,126.489
2016/03/17 06:19:00,126.42,126.42,126.407,126.409,126.489,126.489,126.478,126.481
2016/03/17 06:20:00,126.409,126.461,126.409,126.425,126.481,126.498,126.468,126.497
2016/03/17 06:21:00,126.425,126.467,126.423,126.45,126.497,126.506,126.474,126.505
2016/03/17 06:22:00,126.45,126.453,126.42,126.42,126.505,126.507,126.481,126.491
2016/03/17 06:23:00,126.42,126.435,126.42,126.435,126.491,126.5,126.486,126.499
2016/03/17 06:24:00,126.435,126.459,126.435,126.459,126.499,126.511,126.498,126.51
2016/03/17 06:25:00,126.459,126.483,126.454,126.459,126.51,126.517,126.496,126.513
2016/03/17 06:26:00,126.459,126.46,126.442,126.449,126.513,126.527,126.501,126.52
2016/03/17 06:27:00,126.449,126.474,126.444,126.456,126.52,126.528,126.515,126.518
2016/03/17 06:28:00,126.456,126.467,126.439,126.45,126.518,126.523,126.487,126.508
2016/03/17 06:29:00,126.45,126.463,126.443,126.463,126.508,126.508,126.494,126.506
2016/03/17 06:30:00,126.463,126.465,126.451,126.454,126.506,126.51,126.499,126.505
2016/03/17 06:31:00,126.454,126.46,126.452,126.456,126.505,126.519,126.503,126.515
2016/03/17 06:32:00,126.456,126.515,126.456,126.515,126.515,126.536,126.51,126.528
2016/03/17 06:33:00,126.515,126.517,126.511,126.515,126.528,126.53,126.524,126.528
2016/03/17 06:34:00,126.515,126.519,126.479,126.486,126.528,126.542,126.524,126.529
2016/03/17 06:35:00,126.486,126.492,126.477,126.48,126.529,126.531,126.524,126.529
2016/03/17 06:36:00,126.48,126.491,126.473,126.483,126.529,126.531,126.523,126.527
2016/03/17 06:37:00,126.483,126.489,126.481,126.483,126.527,126.532,126.525,126.527
2016/03/17 06:38:00,126.483,126.488,126.475,126.488,126.527,126.536,126.525,126.532
2016/03/17 06:39:00,126.488,126.489,126.474,126.48,126.532,126.533,126.521,126.523
2016/03/17 06:40:00,126.48,126.481,126.469,126.471,126.523,126.532,126.517,126.531
2016/03/17 06:41:00,126.471,126.486,126.468,126.474,126.531,126.533,126.525,126.528
2016/03/17 06:42:00,126.474,126.477,126.473,126.476,126.528,126.531,126.527,126.529
2016/03/17 06:43:00,126.476,126.476,126.449,126.449,126.529,126.529,126.502,126.509
2016/03/17 06:44:00,126.449,126.458,126.449,126.458,126.509,126.514,126.507,126.511
2016/03/17 06:45:00,126.458,126.459,126.429,126.438,126.511,126.512,126.486,126.491
2016/03/17 06:46:00,126.438,126.44,126.386,126.395,126.491,126.492,126.461,126.47
2016/03/17 06:47:00,126.395,126.395,126.382,126.386,126.47,126.47,126.457,126.461
2016/03/17 06:48:00,126.386,126.398,126.358,126.363,126.461,126.472,126.431,126.438
2016/03/17 06:49:00,126.363,126.37,126.353,126.359,126.438,126.445,126.426,126.433
2016/03/17 06:50:00,126.359,126.377,126.352,126.357,126.433,126.452,126.427,126.431
2016/03/17 06:51:00,126.357,126.383,126.352,126.383,126.431,126.457,126.423,126.457
2016/03/17 06:52:00,126.383,126.422,126.349,126.357,126.457,126.47,126.421,126.427
2016/03/17 06:53:00,126.357,126.39,126.351,126.353,126.427,126.446,126.418,126.424
2016/03/17 06:54:00,126.353,126.36,126.351,126.353,126.424,126.424,126.409,126.409
2016/03/17 06:55:00,126.353,126.38,126.332,126.335,126.409,126.421,126.39,126.397
